410nm,435nm,460nm,485nm,510nm,535nm,560nm,585nm,610nm,645nm,680nm,705nm,730nm,760nm,810nm,860nm,900nm,940nm,label
1.623157881,1.564242366,1.536231819,1.619047645,1.630769285,1.505216218,1.393442594,1.482758671,1.567567537,1.454545381,1.302499957,1.250000022,1.288571415,1.333333366,1.496000054,1.210191122,1.399999986,1.0,PET
1.0771482083140935,1.1161111210596455,1.1311475989546884,1.1161111026881445,1.1469945630628,1.112903255878283,1.1290322237254184,1.0826543005062108,1.1001821661226003,1.0545454131386331,0.9958333329325764,1.1084656182121204,1.0,1.0,1.2000000454346522,1.1229166284203804,1.176470612106758,1.0,PET
1.062313149,1.065116276,1.000752447,1.016666665,0.983870956,0.954545411,0.983606576,1.0,0.994236326,1.015037605,1.044117645,1.0,1.014492757,1.0,1.0,0.994117649,1.043137261,1.032941178,PET
2.344193586,2.373000029,2.405950475,2.307118642,2.287868903,2.273225915,2.033898391,2.14634158,2.222562695,2.015471641,2.176119335,1.750000071,1.739130365,1.666666634,2.0,2.041333251,1.599999945,1.221951173,PET
1.252460783662799,1.3333333799670897,1.4098361190359905,1.2499999818644256,1.344808751977782,1.3376344271008833,1.048387039542364,1.1990686849246526,1.1338798093833404,1.1636363207507272,1.1750000025826564,1.1164021268617879,1.109523771024124,1.0666666732310077,1.109999973875075,1.1249999611054717,1.1764706121067579,1.0,PET
1.849252525,1.581395339,1.444544811,1.584333295,1.630967799,1.575757489,2.329508181,2.11903625,1.109510113,2.01127812,1.141176501,1.846153833,1.069565202,1.040000004,1.099999966,1.117647122,1.372549002,1.17647054,PET
1.243902418,1.4524917,1.405869057,1.446333317,1.413548448,1.346060618,1.125245939,1.363132547,1.384726261,1.316917281,1.329411743,1.156923091,1.255072443,1.166666683,1.300000011,1.122353003,1.372549002,1.058823533,PET
1.5301942682940466,1.6027777863272996,1.7300546488166204,1.3722222435818987,1.5568306020716054,1.531182827411038,1.032258026361576,1.2809468895347405,1.2841530394377032,1.309090891345129,1.312499957029943,1.1349206470443447,1.2857142731600404,1.1722222391801034,1.2000000454346522,1.0624999805527358,1.3725490023673417,1.0,PET
1.096834254091307,1.1666666899835447,1.2459016006968742,1.0666666618305134,1.114754101156968,1.1774193657739211,1.016129013180788,1.0011641438441845,1.0519126103805403,1.0181817501563255,2.0208333050577,1.1084656182121204,1.2857142731600404,1.1666666830775194,1.2000000454346522,1.937499915728522,1.176470612106758,1.0,PET
1.1753125828832616,1.3127777611450713,1.4658469933546263,1.2405555695400985,1.4185793004063807,1.4763441015130547,1.4408601548967517,1.3131548692238426,1.2691256973027294,1.044848436343351,1.5249999650005546,1.301587328687359,1.1428570926401616,1.1666666830775194,1.293333346963729,1.5770833612077453,1.1830065584487772,1.0,PET
1.180173062,1.229235904,1.144920962,1.199999985,1.16129036,1.090909098,1.295081931,1.303373538,1.181556142,1.25939844,1.241176505,1.153846167,1.159420243,1.030000003,1.18000003,1.057647042,1.176470612,1.058823533,PET
1.495789514,1.757575654,1.749130318,1.777777793,1.831076961,1.773472512,1.651475447,1.666666811,2.010270244,1.636363533,1.827499965,1.406250036,1.714285639,1.533333366,1.699999989,1.346496811,1.399999986,1.111111062,PET
