410nm,435nm,460nm,485nm,510nm,535nm,560nm,585nm,610nm,645nm,680nm,705nm,730nm,760nm,810nm,860nm,900nm,940nm,label
1.099558661854481,1.157605304182686,1.1974835606473562,1.2206811262608916,1.233171406052384,1.2040046960992494,1.1257804330973185,1.111856336010115,1.0786414384908716,1.1133853141433683,1.0685043808590606,1.0140512980514969,1.002539619771969,0.9990369348696978,1.194807671525745,1.1437230933834637,1.1970830757840243,1.0003220346988013,PET
1.2716303475879445,1.658609613887825,1.5331858105797884,1.9508721646988856,1.955372417323662,1.7413920612327987,1.3458662240517163,1.2916249785222291,1.3086186292954107,1.253276015930605,1.1581166123609328,1.1711553994430544,1.1398347518418914,1.163375083513021,1.5983502240205256,1.7973250550434983,1.3203987119683895,0.9997019674190979,PET
1.6445959965072556,1.5169518222581513,1.401427511792302,1.7530303690681701,1.7226522917467666,1.4148994153509806,2.928058045979779,2.7155235764289807,2.1654175795331567,2.5782951286997613,1.2289922347356537,1.7168447177498505,1.716455592594712,1.4969729885706808,2.1009581098048327,1.7941527030745854,1.601229647254366,1.1098697682575964,PET
1.6252596112624322,1.565589131165989,1.5401706121309475,1.6174625662420141,1.6282994159771729,1.5087601483755004,1.3915137369695025,1.4865336461439094,1.5664628048427398,1.454246500099834,1.3051266432631905,1.2504745250504516,1.2879690564340434,1.3310430798722312,1.4944707131918016,1.209930173361122,1.3970922153420373,0.9971398745402523,PET
1.0583679969823945,1.0622905602632684,1.0034340151182408,1.0166899004374752,0.9844013507720502,0.9573182204601001,0.9847211233048719,0.9962938653604181,0.9908204827280525,1.0122237006792922,1.0411426448298342,1.0034407197465958,1.0150370453924606,0.9994875236239544,1.0013082309870998,0.9954907464771413,1.0456191420739522,1.03111261908014,PET
1.235293481055524,1.3951292335910666,1.304965123184666,1.3199806485695562,1.4179641632841475,1.3509806256773769,1.130378457306707,1.167315575016165,1.1659616092299039,1.1672463745065034,1.0452309369888377,1.0778709317162558,1.157960459366304,1.159521644178861,1.1019654943297903,0.9970862628352775,1.1793065189871155,1.0577667379536524,PET
3.2553002245292535,1.9181707611534058,1.505445217865711,1.1676896487362143,1.4709823767600747,1.488794575585933,1.194129910578422,1.7662297559080955,1.3001054303721307,1.5806570149554713,1.8401459977029981,1.920175528672506,1.3003480568158576,1.334743097843103,1.2015459575956087,1.1191815942577175,1.7640938547335605,1.2915967081353308,PET
2.3474235351842796,2.369873535714254,2.402938098928608,2.307612865533432,2.285690468739154,2.2748840009409768,2.037415067171226,2.1469502657731057,2.2210248585552765,2.016416210818167,2.1798794889135635,1.751739520756765,1.7374478049610742,1.6634362500167141,1.997691653013448,2.042747687342182,1.6036789702931047,1.2192374509791624,PET
1.1789295456365216,1.2693097846966084,1.1877916455825723,1.2338553236521672,1.1896871225133456,1.1357529071199177,1.178038446926046,1.26729370243805,1.3571646979455776,1.2200189133605568,1.6133173528929083,1.1558927827832866,1.216685477680487,1.1638716827688858,1.2992549093761403,1.2323253407622514,1.3645280006903504,1.0600587215844954,PET
1.2236107870459219,2.0759496121072805,2.810199674278656,2.105921778097246,2.2538521336933246,2.4513345580476003,2.967116792704486,1.669695161420536,2.9181850878795217,1.3604932655867226,5.000521970121357,4.4231627540429,3.145579926304228,3.210982789564066,3.2282173760224637,4.8238806780600365,2.3915533167984253,1.1275575356416383,PET
1.2722751073702159,1.3497473525074257,1.3315304791729117,1.4469715025248058,1.5715422126112395,1.493802189677383,1.5120192736051832,1.5832602888458418,1.5376965466173875,1.495394059872384,1.576365503321077,1.246725693184676,1.3122537409004371,1.3322869355944718,1.400379918260403,1.5902822300756532,1.422770606780484,1.041449867792971,PET
