410nm,435nm,460nm,485nm,510nm,535nm,560nm,585nm,610nm,645nm,680nm,705nm,730nm,760nm,810nm,860nm,900nm,940nm,slope_IR_VIS,label
1.7837837516018529,1.9655172788083075,1.805755242687688,2.764505062670009,2.8499998959492343,2.2238806684153523,3.215926475222996,2.8072289123869125,3.024602065053378,2.019230698092871,2.0512819782095497,2.142857154410325,1.9999999053603024,1.6666666338449614,2.700000102227968,2.842639646931892,1.833333256679412,1.249999952972935,0.8223754733599081,PE
1.7837837516018529,1.9655172788083075,1.805755242687688,2.764505062670009,2.8499998959492343,2.2238806684153523,3.215926475222996,2.8072289123869125,3.024602065053378,2.019230698092871,2.1794871703531165,2.142857154410325,1.8461538024739856,1.6666666338449614,2.700000102227968,2.842639646931892,1.833333256679412,1.249999952972935,0.8223754733599081,PE
1.7837837516018529,1.9655172788083075,1.805755242687688,2.764505062670009,2.8499998959492343,2.2238806684153523,3.215926475222996,2.8072289123869125,3.024602065053378,2.019230698092871,2.0512819782095497,2.142857154410325,1.8461538024739856,1.6666666338449614,2.700000102227968,2.842639646931892,1.833333256679412,1.249999952972935,0.8223754733599081,PE
1.8018017297755755,1.9655172788083075,1.805755242687688,2.764505062670009,2.8499998959492343,2.2238806684153523,3.215926475222996,2.8072289123869125,3.024602065053378,2.019230698092871,2.0512819782095497,2.142857154410325,1.8461538024739856,1.6666666338449614,2.700000102227968,2.842639646931892,1.833333256679412,1.249999952972935,0.8184422934789791,PE
1.8018017297755755,1.9827587117668808,1.805755242687688,2.764505062670009,2.8499998959492343,2.2238806684153523,3.215926475222996,2.8072289123869125,3.024602065053378,2.019230698092871,2.0512819782095497,2.142857154410325,1.8461538024739856,1.6666666338449614,2.700000102227968,2.842639646931892,1.833333256679412,1.249999952972935,0.8147136919276382,PE
1.8018017297755755,1.9655172788083075,1.805755242687688,2.764505062670009,2.8499998959492343,2.2238806684153523,3.215926475222996,2.8072289123869125,3.024602065053378,2.019230698092871,2.1794871703531165,2.142857154410325,1.8461538024739856,1.6666666338449614,2.700000102227968,2.842639646931892,1.833333256679412,1.249999952972935,0.8184422934789791,PE
1.8108108039146824,1.9827587117668808,1.805755242687688,2.764505062670009,2.8499998959492343,2.2238806684153523,3.215926475222996,2.8072289123869125,3.024602065053378,2.019230698092871,2.1794871703531165,2.142857154410325,1.8461538024739856,1.6666666338449614,2.700000102227968,2.842639646931892,1.833333256679412,1.249999952972935,0.812778887247671,PE
1.8108108039146824,1.9827587117668808,1.805755242687688,2.764505062670009,2.8499998959492343,2.2238806684153523,3.215926475222996,2.8072289123869125,3.024602065053378,2.019230698092871,2.94871788477951,2.142857154410325,1.8461538024739856,1.6666666338449614,2.700000102227968,2.842639646931892,1.833333256679412,1.249999952972935,0.812778887247671,PE
1.8108108039146824,1.9827587117668808,1.805755242687688,2.764505062670009,2.8499998959492343,2.2238806684153523,3.215926475222996,2.8072289123869125,3.024602065053378,2.019230698092871,2.0512819782095497,2.142857154410325,1.8461538024739856,1.6666666338449614,2.700000102227968,2.842639646931892,1.833333256679412,1.249999952972935,0.812778887247671,PE
1.756756699289023,1.9655172788083075,1.7985611031128967,2.764505062670009,2.833333217721372,2.2238806684153523,3.215926475222996,2.8072289123869125,3.024602065053378,2.0,2.0512819782095497,2.142857154410325,1.8461538024739856,1.6666666338449614,2.700000102227968,2.842639646931892,1.833333256679412,1.249999952972935,0.8283466579288226,PE
1.756756699289023,1.9655172788083075,1.805755242687688,2.764505062670009,2.8499998959492343,2.2238806684153523,3.215926475222996,2.8072289123869125,3.024602065053378,2.019230698092871,2.0512819782095497,2.142857154410325,1.8461538024739856,1.6666666338449614,2.700000102227968,2.842639646931892,1.833333256679412,1.249999952972935,0.8283466579288226,PE
1.7657657734281302,1.9655172788083075,1.805755242687688,2.764505062670009,2.8499998959492343,2.2238806684153523,3.215926475222996,2.8072289123869125,3.024602065053378,2.019230698092871,2.0512819782095497,2.142857154410325,1.8461538024739856,1.6666666338449614,2.700000102227968,2.842639646931892,1.833333256679412,1.249999952972935,0.8263466390748014,PE
1.7747748475672378,1.9655172788083075,1.805755242687688,2.764505062670009,2.8499998959492343,2.2238806684153523,3.215926475222996,2.8072289123869125,3.024602065053378,2.019230698092871,2.94871788477951,2.142857154410325,1.9999999053603024,1.6666666338449614,2.700000102227968,2.842639646931892,1.833333256679412,1.249999952972935,0.8243562549324694,PE
